STATE,PR_ALL,PR_YOUTH,MED_HH_INCOME,YEAR
Hawaii,9.9,12.5,56133.0,2005
Idaho,13.4,17.2,41269.0,2005
Illinois,12.0,16.5,50270.0,2005
Indiana,12.2,16.6,44051.0,2005
Iowa,10.8,13.9,43610.0,2005
Kansas,11.7,15.2,42861.0,2005
Kentucky,16.9,23.0,37377.0,2005
Louisiana,20.2,29.2,36547.0,2005
Maine,12.3,16.7,42648.0,2005
Maryland,8.3,10.9,61546.0,2005
Massachusetts,10.3,13.5,57176.0,2005
Michigan,13.1,18.3,46072.0,2005
Minnesota,9.2,11.6,52048.0,2005
Mississippi,21.0,30.2,33090.0,2005
Missouri,13.6,19.5,41946.0,2005
Montana,14.6,20.2,38503.0,2005
Nebraska,11.0,14.7,43675.0,2005
Nevada,11.1,15.4,49288.0,2005
New Hampshire,7.6,9.5,56557.0,2005
New Jersey,8.7,11.7,61694.0,2005
New Mexico,18.4,26.0,37603.0,2005
New York,13.9,19.7,49365.0,2005
North Carolina,14.9,20.8,40781.0,2005
North Dakota,11.6,14.5,40818.0,2005
Ohio,13.0,18.5,43547.0,2005
Oklahoma,16.4,23.0,37020.0,2005
Oregon,14.1,18.8,43065.0,2005
Pennsylvania,11.9,16.6,44545.0,2005
Rhode Island,11.9,17.6,50415.0,2005
South Carolina,15.6,22.6,39477.0,2005
South Dakota,13.6,18.3,40096.0,2005
Tennessee,15.6,21.8,38947.0,2005
Texas,17.5,24.7,42165.0,2005
Utah,10.5,11.7,48155.0,2005
Vermont,10.4,12.8,45695.0,2005
Virginia,10.0,13.3,54207.0,2005
