,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
435,WASHINGTON COUNTY,Minnesota,2018,3.0
436,RENVILLE COUNTY,Minnesota,2018,4.5
437,SCOTT COUNTY,Minnesota,2018,2.9
438,OLMSTED COUNTY,Minnesota,2018,2.7
439,SIBLEY COUNTY,Minnesota,2018,3.6
440,BECKER COUNTY,Minnesota,2017,4.2
441,CARLTON COUNTY,Minnesota,2017,4.8
442,LAC QUI PARLE COUNTY,Minnesota,2017,3.5
443,DOUGLAS COUNTY,Minnesota,2017,3.2
444,COOK COUNTY,Minnesota,2017,3.9
445,ISANTI COUNTY,Minnesota,2017,4.4
446,BIG STONE COUNTY,Minnesota,2017,4.5
447,KITTSON COUNTY,Minnesota,2017,3.7
448,CASS COUNTY,Minnesota,2017,6.0
449,LINCOLN COUNTY,Minnesota,2017,3.2
450,COTTONWOOD COUNTY,Minnesota,2017,5.3
451,BENTON COUNTY,Minnesota,2017,4.1
452,KOOCHICHING COUNTY,Minnesota,2017,7.2
453,BLUE EARTH COUNTY,Minnesota,2017,2.9
454,BELTRAMI COUNTY,Minnesota,2017,4.9
455,CARVER COUNTY,Minnesota,2017,3.0
456,BROWN COUNTY,Minnesota,2017,3.7
457,HENNEPIN COUNTY,Minnesota,2017,3.1
458,AITKIN COUNTY,Minnesota,2017,6.3
459,GRANT COUNTY,Minnesota,2017,4.1
460,KANABEC COUNTY,Minnesota,2017,6.1
461,LYON COUNTY,Minnesota,2017,3.2
462,FILLMORE COUNTY,Minnesota,2017,3.5
463,CROW WING COUNTY,Minnesota,2017,4.5
464,DODGE COUNTY,Minnesota,2017,3.4
465,LAKE OF THE WOODS COUNTY,Minnesota,2017,4.7
466,CHISAGO COUNTY,Minnesota,2017,4.0
467,ITASCA COUNTY,Minnesota,2017,7.0
468,CLEARWATER COUNTY,Minnesota,2017,8.9
469,JACKSON COUNTY,Minnesota,2017,3.7
470,FARIBAULT COUNTY,Minnesota,2017,4.2
471,DAKOTA COUNTY,Minnesota,2017,3.1
472,CHIPPEWA COUNTY,Minnesota,2017,4.0
473,CLAY COUNTY,Minnesota,2017,3.2
474,LE SUEUR COUNTY,Minnesota,2017,4.7
475,HUBBARD COUNTY,Minnesota,2017,5.7
476,FREEBORN COUNTY,Minnesota,2017,3.7
477,LAKE COUNTY,Minnesota,2017,3.9
478,HOUSTON COUNTY,Minnesota,2017,3.5
479,GOODHUE COUNTY,Minnesota,2017,3.3
480,KANDIYOHI COUNTY,Minnesota,2017,3.3
481,ANOKA COUNTY,Minnesota,2017,3.4
