,COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
567,Goodhue County                  ,Minnesota,2016,3.7
568,Kandiyohi County                ,Minnesota,2016,3.8
569,Anoka County                    ,Minnesota,2016,3.7
571,Red Lake County                 ,Minnesota,2016,6.0
572,Norman County                   ,Minnesota,2016,4.8
573,Martin County                   ,Minnesota,2016,4.2
574,Swift County                    ,Minnesota,2016,6.2
575,Pennington County               ,Minnesota,2016,5.2
576,Otter Tail County               ,Minnesota,2016,4.3
577,Sherburne County                ,Minnesota,2016,4.1
578,Stearns County                  ,Minnesota,2016,3.7
579,Mahnomen County                 ,Minnesota,2016,5.9
580,Pine County                     ,Minnesota,2016,5.7
