COUNTY_FULL,STATE_NAME,YEAR,UE_RATE
Waseca County                   ,Minnesota,2019,4.2
Saint Louis County              ,Minnesota,2019,3.8
Rice County                     ,Minnesota,2019,2.9
Watonwan County                 ,Minnesota,2019,3.6
Yellow Medicine County          ,Minnesota,2019,3.1
Redwood County                  ,Minnesota,2019,3.7
Stevens County                  ,Minnesota,2019,2.4
Nobles County                   ,Minnesota,2019,2.7
Todd County                     ,Minnesota,2019,4.0
Pipestone County                ,Minnesota,2019,3.0
Winona County                   ,Minnesota,2019,2.7
Nicollet County                 ,Minnesota,2019,2.3
Wilkin County                   ,Minnesota,2019,3.1
Wadena County                   ,Minnesota,2019,5.4
McLeod County                   ,Minnesota,2019,3.2
Marshall County                 ,Minnesota,2019,6.0
Wright County                   ,Minnesota,2019,3.1
Mower County                    ,Minnesota,2019,2.8
Wabasha County                  ,Minnesota,2019,3.1
Polk County                     ,Minnesota,2019,3.8
Ramsey County                   ,Minnesota,2019,2.8
Roseau County                   ,Minnesota,2019,3.5
Pope County                     ,Minnesota,2019,2.7
Mille Lacs County               ,Minnesota,2019,5.0
Washington County               ,Minnesota,2019,2.6
Renville County                 ,Minnesota,2019,4.1
Scott County                    ,Minnesota,2019,2.6
Olmsted County,Minnesota,2019,2.4
Sibley County                   ,Minnesota,2019,3.3
Becker County                   ,Minnesota,2018,3.7
Carlton County                  ,Minnesota,2018,4.2
Lac qui Parle County            ,Minnesota,2018,3.7
Douglas County                  ,Minnesota,2018,2.9
Cook County                     ,Minnesota,2018,3.5
Isanti County                   ,Minnesota,2018,3.8
Big Stone County                ,Minnesota,2018,3.9
Kittson County                  ,Minnesota,2018,3.0
Cass County                     ,Minnesota,2018,5.3
Lincoln County                  ,Minnesota,2018,3.1
Cottonwood County               ,Minnesota,2018,3.7
Benton County                   ,Minnesota,2018,3.6
Koochiching County              ,Minnesota,2018,6.3
Blue Earth County               ,Minnesota,2018,2.6
Beltrami County                 ,Minnesota,2018,4.2
Carver County                   ,Minnesota,2018,2.5
Brown County                    ,Minnesota,2018,3.5
Hennepin County                 ,Minnesota,2018,2.6
Aitkin County                   ,Minnesota,2018,5.8
Grant County                    ,Minnesota,2018,4.1
Kanabec County                  ,Minnesota,2018,5.6
Lyon County                     ,Minnesota,2018,2.9
Fillmore County                 ,Minnesota,2018,3.2
Crow Wing County                ,Minnesota,2018,4.1
Dodge County                    ,Minnesota,2018,3.1
Lake of the Woods County        ,Minnesota,2018,3.9
Chisago County                  ,Minnesota,2018,3.5
Itasca County                   ,Minnesota,2018,5.6
Clearwater County               ,Minnesota,2018,8.3
Jackson County                  ,Minnesota,2018,3.0
Faribault County                ,Minnesota,2018,3.6
Dakota County                   ,Minnesota,2018,2.6
Chippewa County                 ,Minnesota,2018,3.3
Clay County                     ,Minnesota,2018,3.0
Le Sueur County                 ,Minnesota,2018,4.2
